Nuklid,e_inh,e_ing,LE,LA,CA
,[Sv/Bq],[Sv/Bq],[Bq/kg],[Bq],{Bq/m^3]
,,,,,
Sn-125,2.80E-009,3.10E-009,3.00E+003,2.00E+006,3.00E+003
Sn-126,1.80E-008,4.70E-009,2.00E+003,3.00E+005,5.00E+002
Sn-127,2.00E-010,2.00E-010,5.00E+004,3.00E+007,4.00E+004
Sn-128,1.50E-010,1.50E-010,7.00E+004,3.00E+007,6.00E+004
Sb-115,2.30E-011,2.40E-011,4.00E+005,2.00E+008,4.00E+005
Sb-116,2.30E-011,2.60E-011,4.00E+005,2.00E+008,4.00E+005
Sb-116m,8.50E-011,6.70E-011,1.00E+005,6.00E+007,1.00E+005
Sb-117,2.70E-011,1.80E-011,6.00E+005,2.00E+008,3.00E+005
Sb-118m,2.30E-010,2.10E-010,5.00E+004,2.00E+007,4.00E+004
Sb-119,5.90E-011,8.10E-011,1.00E+005,8.00E+007,1.00E+005
Sb-120,1.30E-009,1.20E-009,8.00E+003,4.00E+006,6.00E+003
Sb-122,1.20E-009,1.70E-009,6.00E+003,4.00E+006,7.00E+003
,,,,,
,,,,,
Sb-124,4.70E-009,2.50E-009,4.00E+003,1.00E+006,2.00E+003
Sb-124m,8.30E-012,8.00E-012,1.00E+006,6.00E+008,1.00E+006
Sb-125,3.30E-009,1.10E-009,9.00E+003,2.00E+006,3.00E+003
Sb-126,3.20E-009,2.40E-009,4.00E+003,2.00E+006,3.00E+003
Sb-126m,3.30E-011,3.60E-011,3.00E+005,2.00E+008,3.00E+005
Sb-127,1.70E-009,1.70E-009,6.00E+003,3.00E+006,5.00E+003
Sb-128,6.70E-010,7.60E-010,1.00E+004,7.00E+006,1.00E+004
Sb-129,3.50E-010,4.20E-010,2.00E+004,1.00E+007,2.00E+004
Sb-130,9.10E-011,9.10E-011,1.00E+005,5.00E+007,9.00E+004
Sb-131,8.30E-011,1.00E-010,1.00E+005,6.00E+007,1.00E+005
Te-116,1.70E-010,1.70E-010,6.00E+004,3.00E+007,5.00E+004
Te-119m,6.30E-010,8.30E-010,1.00E+004,8.00E+006,1.00E+004
Te-121,4.40E-010,4.30E-010,2.00E+004,1.00E+007,2.00E+004
Te-121m,3.60E-009,2.30E-009,4.00E+003,1.00E+006,2.00E+003
Te-123,5.00E-009,4.40E-009,2.00E+003,1.00E+006,2.00E+003
Te-123m,3.40E-009,1.40E-009,7.00E+003,1.00E+006,2.00E+003
Te-125m,2.90E-009,8.70E-010,1.00E+004,2.00E+006,3.00E+003
Te-127,1.80E-010,1.70E-010,6.00E+004,3.00E+007,5.00E+004
Te-127m,6.20E-009,2.30E-009,4.00E+003,8.00E+005,1.00E+003
